Detail,Week_Ending_Date,Value,Measure,Class,Week,Source,Flu_Season
A (Unk),9/8/2012 12:00:00 AM,0,Region,Southwest,36,Labs,2011-12
B,9/8/2012 12:00:00 AM,0,Region,Southwest,36,Labs,2011-12
B/Victoria,9/8/2012 12:00:00 AM,0,Region,Southwest,36,Labs,2011-12
B/Yamagata,9/8/2012 12:00:00 AM,0,Region,Southwest,36,Labs,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Facility Type,Assisted Living,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Facility Type,Assisted Living,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Facility Type,Nursing Home,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Facility Type,Nursing Home,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Facility Type,Other Facility Type,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Facility Type,Other Facility Type,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Facility Type,Other Health Care,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Facility Type,Other Health Care,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Facility Type,School (K-12),36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Facility Type,School (K-12),36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Region,Central,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Region,Central,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Region,Eastern,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Region,Eastern,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Region,Northern,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Region,Northern,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Region,Northwest,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Region,Northwest,36,Outbreaks,2011-12
Confirmed,9/8/2012 12:00:00 AM,0,Region,Southwest,36,Outbreaks,2011-12
Suspected,9/8/2012 12:00:00 AM,0,Region,Southwest,36,Outbreaks,2011-12
,9/8/2012 12:00:00 AM,0,,,36,Specimens,2011-12
,9/15/2012 12:00:00 AM,0,,,37,Activity Level,2011-12
,9/15/2012 12:00:00 AM,2.944407822,AgeGroup,0-4,37,ILI by Age,2011-12
,9/15/2012 12:00:00 AM,2.061446977,AgeGroup,05-18,37,ILI by Age,2011-12
,9/15/2012 12:00:00 AM,0.892359175,AgeGroup,19-24,37,ILI by Age,2011-12
,9/15/2012 12:00:00 AM,0.802888863,AgeGroup,25-49,37,ILI by Age,2011-12
,9/15/2012 12:00:00 AM,0.483050116,AgeGroup,50-64,37,ILI by Age,2011-12
,9/15/2012 12:00:00 AM,0.185777686,AgeGroup,65+,37,ILI by Age,2011-12
,9/15/2012 12:00:00 AM,1.266008050,RegionName,Central,37,ILI by Region,2011-12
,9/15/2012 12:00:00 AM,0.807056229,RegionName,Eastern,37,ILI by Region,2011-12
,9/15/2012 12:00:00 AM,1.038232199,RegionName,Northern,37,ILI by Region,2011-12
,9/15/2012 12:00:00 AM,1.021545319,RegionName,Northwest,37,ILI by Region,2011-12
,9/15/2012 12:00:00 AM,0.966121345,RegionName,Southwest,37,ILI by Region,2011-12
,9/15/2012 12:00:00 AM,0.996730608,,,37,ILI by Season,2011-12
A (H1),9/15/2012 12:00:00 AM,0,Region,Central,37,Labs,2011-12
A (H3),9/15/2012 12:00:00 AM,0,Region,Central,37,Labs,2011-12
A (Unk),9/15/2012 12:00:00 AM,0,Region,Central,37,Labs,2011-12
B,9/15/2012 12:00:00 AM,0,Region,Central,37,Labs,2011-12
B/Victoria,9/15/2012 12:00:00 AM,0,Region,Central,37,Labs,2011-12
B/Yamagata,9/15/2012 12:00:00 AM,0,Region,Central,37,Labs,2011-12
A (H1),9/15/2012 12:00:00 AM,0,Region,Eastern,37,Labs,2011-12
A (H3),9/15/2012 12:00:00 AM,0,Region,Eastern,37,Labs,2011-12
A (Unk),9/15/2012 12:00:00 AM,0,Region,Eastern,37,Labs,2011-12
B,9/15/2012 12:00:00 AM,0,Region,Eastern,37,Labs,2011-12
B/Victoria,9/15/2012 12:00:00 AM,0,Region,Eastern,37,Labs,2011-12
B/Yamagata,9/15/2012 12:00:00 AM,0,Region,Eastern,37,Labs,2011-12
A (H1),9/15/2012 12:00:00 AM,0,Region,Northern,37,Labs,2011-12
A (H3),9/15/2012 12:00:00 AM,0,Region,Northern,37,Labs,2011-12
A (Unk),9/15/2012 12:00:00 AM,0,Region,Northern,37,Labs,2011-12
B,9/15/2012 12:00:00 AM,0,Region,Northern,37,Labs,2011-12
B/Victoria,9/15/2012 12:00:00 AM,0,Region,Northern,37,Labs,2011-12
B/Yamagata,9/15/2012 12:00:00 AM,0,Region,Northern,37,Labs,2011-12
A (H1),9/15/2012 12:00:00 AM,0,Region,Northwest,37,Labs,2011-12
A (H3),9/15/2012 12:00:00 AM,0,Region,Northwest,37,Labs,2011-12
A (Unk),9/15/2012 12:00:00 AM,0,Region,Northwest,37,Labs,2011-12
B,9/15/2012 12:00:00 AM,0,Region,Northwest,37,Labs,2011-12
B/Victoria,9/15/2012 12:00:00 AM,0,Region,Northwest,37,Labs,2011-12
B/Yamagata,9/15/2012 12:00:00 AM,0,Region,Northwest,37,Labs,2011-12
A (H1),9/15/2012 12:00:00 AM,0,Region,Southwest,37,Labs,2011-12
A (H3),9/15/2012 12:00:00 AM,0,Region,Southwest,37,Labs,2011-12
A (Unk),9/15/2012 12:00:00 AM,0,Region,Southwest,37,Labs,2011-12
B,9/15/2012 12:00:00 AM,0,Region,Southwest,37,Labs,2011-12
B/Victoria,9/15/2012 12:00:00 AM,0,Region,Southwest,37,Labs,2011-12
B/Yamagata,9/15/2012 12:00:00 AM,0,Region,Southwest,37,Labs,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Facility Type,Assisted Living,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Facility Type,Assisted Living,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Facility Type,Nursing Home,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Facility Type,Nursing Home,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Facility Type,Other Facility Type,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Facility Type,Other Facility Type,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Facility Type,Other Health Care,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Facility Type,Other Health Care,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Facility Type,School (K-12),37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Facility Type,School (K-12),37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Region,Central,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Region,Central,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Region,Eastern,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Region,Eastern,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Region,Northern,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Region,Northern,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Region,Northwest,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Region,Northwest,37,Outbreaks,2011-12
Confirmed,9/15/2012 12:00:00 AM,0,Region,Southwest,37,Outbreaks,2011-12
Suspected,9/15/2012 12:00:00 AM,0,Region,Southwest,37,Outbreaks,2011-12
,9/15/2012 12:00:00 AM,0,,,37,Specimens,2011-12
,9/22/2012 12:00:00 AM,0,,,38,Activity Level,2011-12
,9/22/2012 12:00:00 AM,3.493621197,AgeGroup,0-4,38,ILI by Age,2011-12
,9/22/2012 12:00:00 AM,2.406267487,AgeGroup,05-18,38,ILI by Age,2011-12
,9/22/2012 12:00:00 AM,1.044036943,AgeGroup,19-24,38,ILI by Age,2011-12
,9/22/2012 12:00:00 AM,0.903490760,AgeGroup,25-49,38,ILI by Age,2011-12
,9/22/2012 12:00:00 AM,0.600961538,AgeGroup,50-64,38,ILI by Age,2011-12
,9/22/2012 12:00:00 AM,0.300390508,AgeGroup,65+,38,ILI by Age,2011-12
,9/22/2012 12:00:00 AM,1.304846573,RegionName,Central,38,ILI by Region,2011-12
,9/22/2012 12:00:00 AM,1.083400603,RegionName,Eastern,38,ILI by Region,2011-12
,9/22/2012 12:00:00 AM,1.350429682,RegionName,Northern,38,ILI by Region,2011-12
,9/22/2012 12:00:00 AM,1.067585019,RegionName,Northwest,38,ILI by Region,2011-12
,9/22/2012 12:00:00 AM,1.220739995,RegionName,Southwest,38,ILI by Region,2011-12
,9/22/2012 12:00:00 AM,1.193730128,,,38,ILI by Season,2011-12
A (H1),9/22/2012 12:00:00 AM,0,Region,Central,38,Labs,2011-12
A (H3),9/22/2012 12:00:00 AM,0,Region,Central,38,Labs,2011-12
A (Unk),9/22/2012 12:00:00 AM,0,Region,Central,38,Labs,2011-12
B,9/22/2012 12:00:00 AM,0,Region,Central,38,Labs,2011-12
B/Victoria,9/22/2012 12:00:00 AM,0,Region,Central,38,Labs,2011-12
B/Yamagata,9/22/2012 12:00:00 AM,0,Region,Central,38,Labs,2011-12
A (H1),9/22/2012 12:00:00 AM,0,Region,Eastern,38,Labs,2011-12
A (H3),9/22/2012 12:00:00 AM,0,Region,Eastern,38,Labs,2011-12
A (Unk),9/22/2012 12:00:00 AM,0,Region,Eastern,38,Labs,2011-12
B,9/22/2012 12:00:00 AM,0,Region,Eastern,38,Labs,2011-12
B/Victoria,9/22/2012 12:00:00 AM,0,Region,Eastern,38,Labs,2011-12
B/Yamagata,9/22/2012 12:00:00 AM,0,Region,Eastern,38,Labs,2011-12
A (H1),9/22/2012 12:00:00 AM,0,Region,Northern,38,Labs,2011-12
A (H3),9/22/2012 12:00:00 AM,0,Region,Northern,38,Labs,2011-12
A (Unk),9/22/2012 12:00:00 AM,0,Region,Northern,38,Labs,2011-12
B,9/22/2012 12:00:00 AM,1,Region,Northern,38,Labs,2011-12
B/Victoria,9/22/2012 12:00:00 AM,0,Region,Northern,38,Labs,2011-12
B/Yamagata,9/22/2012 12:00:00 AM,0,Region,Northern,38,Labs,2011-12
A (H1),9/22/2012 12:00:00 AM,0,Region,Northwest,38,Labs,2011-12
A (H3),9/22/2012 12:00:00 AM,0,Region,Northwest,38,Labs,2011-12
A (Unk),9/22/2012 12:00:00 AM,0,Region,Northwest,38,Labs,2011-12
B,9/22/2012 12:00:00 AM,1,Region,Northwest,38,Labs,2011-12
B/Victoria,9/22/2012 12:00:00 AM,0,Region,Northwest,38,Labs,2011-12
B/Yamagata,9/22/2012 12:00:00 AM,0,Region,Northwest,38,Labs,2011-12
A (H1),9/22/2012 12:00:00 AM,0,Region,Southwest,38,Labs,2011-12
A (H3),9/22/2012 12:00:00 AM,0,Region,Southwest,38,Labs,2011-12
A (Unk),9/22/2012 12:00:00 AM,0,Region,Southwest,38,Labs,2011-12
B,9/22/2012 12:00:00 AM,0,Region,Southwest,38,Labs,2011-12
B/Victoria,9/22/2012 12:00:00 AM,0,Region,Southwest,38,Labs,2011-12
B/Yamagata,9/22/2012 12:00:00 AM,0,Region,Southwest,38,Labs,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Facility Type,Assisted Living,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Facility Type,Assisted Living,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Facility Type,Nursing Home,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Facility Type,Nursing Home,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Facility Type,Other Facility Type,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Facility Type,Other Facility Type,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Facility Type,Other Health Care,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Facility Type,Other Health Care,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Facility Type,School (K-12),38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Facility Type,School (K-12),38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Region,Central,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Region,Central,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Region,Eastern,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Region,Eastern,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Region,Northern,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Region,Northern,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Region,Northwest,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Region,Northwest,38,Outbreaks,2011-12
Confirmed,9/22/2012 12:00:00 AM,0,Region,Southwest,38,Outbreaks,2011-12
Suspected,9/22/2012 12:00:00 AM,0,Region,Southwest,38,Outbreaks,2011-12
,9/22/2012 12:00:00 AM,2,,,38,Specimens,2011-12
,9/29/2012 12:00:00 AM,0,,,39,Activity Level,2011-12
,9/29/2012 12:00:00 AM,3.424930307,AgeGroup,0-4,39,ILI by Age,2011-12
,9/29/2012 12:00:00 AM,2.307319438,AgeGroup,05-18,39,ILI by Age,2011-12
,9/29/2012 12:00:00 AM,0.859983875,AgeGroup,19-24,39,ILI by Age,2011-12
,9/29/2012 12:00:00 AM,0.911039657,AgeGroup,25-49,39,ILI by Age,2011-12
,9/29/2012 12:00:00 AM,0.579534642,AgeGroup,50-64,39,ILI by Age,2011-12
,9/29/2012 12:00:00 AM,0.411566062,AgeGroup,65+,39,ILI by Age,2011-12
,9/29/2012 12:00:00 AM,1.307654040,RegionName,Central,39,ILI by Region,2011-12
,9/29/2012 12:00:00 AM,1.099614702,RegionName,Eastern,39,ILI by Region,2011-12
,9/29/2012 12:00:00 AM,1.168322373,RegionName,Northern,39,ILI by Region,2011-12
,9/29/2012 12:00:00 AM,1.061687717,RegionName,Northwest,39,ILI by Region,2011-12
,9/29/2012 12:00:00 AM,1.284768212,RegionName,Southwest,39,ILI by Region,2011-12
,9/29/2012 12:00:00 AM,1.169573921,,,39,ILI by Season,2011-12
A (H1),9/29/2012 12:00:00 AM,0,Region,Central,39,Labs,2011-12
A (H3),9/29/2012 12:00:00 AM,0,Region,Central,39,Labs,2011-12
A (Unk),9/29/2012 12:00:00 AM,0,Region,Central,39,Labs,2011-12
B,9/29/2012 12:00:00 AM,0,Region,Central,39,Labs,2011-12
B/Victoria,9/29/2012 12:00:00 AM,0,Region,Central,39,Labs,2011-12
B/Yamagata,9/29/2012 12:00:00 AM,0,Region,Central,39,Labs,2011-12
A (H1),9/29/2012 12:00:00 AM,0,Region,Eastern,39,Labs,2011-12
A (H3),9/29/2012 12:00:00 AM,0,Region,Eastern,39,Labs,2011-12
A (Unk),9/29/2012 12:00:00 AM,0,Region,Eastern,39,Labs,2011-12
B,9/29/2012 12:00:00 AM,0,Region,Eastern,39,Labs,2011-12
B/Victoria,9/29/2012 12:00:00 AM,0,Region,Eastern,39,Labs,2011-12
B/Yamagata,9/29/2012 12:00:00 AM,0,Region,Eastern,39,Labs,2011-12
A (H1),9/29/2012 12:00:00 AM,0,Region,Northern,39,Labs,2011-12
A (H3),9/29/2012 12:00:00 AM,0,Region,Northern,39,Labs,2011-12
A (Unk),9/29/2012 12:00:00 AM,0,Region,Northern,39,Labs,2011-12
B,9/29/2012 12:00:00 AM,0,Region,Northern,39,Labs,2011-12
B/Victoria,9/29/2012 12:00:00 AM,0,Region,Northern,39,Labs,2011-12
B/Yamagata,9/29/2012 12:00:00 AM,0,Region,Northern,39,Labs,2011-12
A (H1),9/29/2012 12:00:00 AM,0,Region,Northwest,39,Labs,2011-12
A (H3),9/29/2012 12:00:00 AM,0,Region,Northwest,39,Labs,2011-12
A (Unk),9/29/2012 12:00:00 AM,0,Region,Northwest,39,Labs,2011-12
B,9/29/2012 12:00:00 AM,0,Region,Northwest,39,Labs,2011-12
B/Victoria,9/29/2012 12:00:00 AM,0,Region,Northwest,39,Labs,2011-12
B/Yamagata,9/29/2012 12:00:00 AM,0,Region,Northwest,39,Labs,2011-12
A (H1),9/29/2012 12:00:00 AM,0,Region,Southwest,39,Labs,2011-12
A (H3),9/29/2012 12:00:00 AM,0,Region,Southwest,39,Labs,2011-12
A (Unk),9/29/2012 12:00:00 AM,0,Region,Southwest,39,Labs,2011-12
B,9/29/2012 12:00:00 AM,0,Region,Southwest,39,Labs,2011-12
B/Victoria,9/29/2012 12:00:00 AM,0,Region,Southwest,39,Labs,2011-12
B/Yamagata,9/29/2012 12:00:00 AM,0,Region,Southwest,39,Labs,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Facility Type,Assisted Living,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Facility Type,Assisted Living,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Facility Type,Daycare / Pre-K,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Facility Type,Nursing Home,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Facility Type,Nursing Home,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Facility Type,Other Facility Type,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Facility Type,Other Facility Type,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Facility Type,Other Health Care,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Facility Type,Other Health Care,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Facility Type,School (K-12),39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Facility Type,School (K-12),39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Region,Central,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Region,Central,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Region,Eastern,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Region,Eastern,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Region,Northern,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Region,Northern,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Region,Northwest,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Region,Northwest,39,Outbreaks,2011-12
Confirmed,9/29/2012 12:00:00 AM,0,Region,Southwest,39,Outbreaks,2011-12
Suspected,9/29/2012 12:00:00 AM,0,Region,Southwest,39,Outbreaks,2011-12
,9/29/2012 12:00:00 AM,0,,,39,Specimens,2011-12
,10/8/2011 12:00:00 AM,1,,,40,Activity Level,2011-12
,10/8/2011 12:00:00 AM,3.964114333,AgeGroup,0-4,40,ILI by Age,2011-12
,10/8/2011 12:00:00 AM,2.019970160,AgeGroup,05-18,40,ILI by Age,2011-12
,10/8/2011 12:00:00 AM,1.085986314,AgeGroup,19-24,40,ILI by Age,2011-12
,10/8/2011 12:00:00 AM,0.987390468,AgeGroup,25-49,40,ILI by Age,2011-12
,10/8/2011 12:00:00 AM,0.551144325,AgeGroup,50-64,40,ILI by Age,2011-12
,10/8/2011 12:00:00 AM,0.224329561,AgeGroup,65+,40,ILI by Age,2011-12
,10/8/2011 12:00:00 AM,1.382380506,RegionName,Central,40,ILI by Region,2011-12
,10/8/2011 12:00:00 AM,1.173005890,RegionName,Eastern,40,ILI by Region,2011-12
,10/8/2011 12:00:00 AM,1.220423412,RegionName,Northern,40,ILI by Region,2011-12
,10/8/2011 12:00:00 AM,1.031151634,RegionName,Northwest,40,ILI by Region,2011-12
,10/8/2011 12:00:00 AM,0.966231696,RegionName,Southwest,40,ILI by Region,2011-12
,10/8/2011 12:00:00 AM,1.170967490,,,40,ILI by Season,2011-12
A (H1),10/8/2011 12:00:00 AM,0,Region,Central,40,Labs,2011-12
A (H3),10/8/2011 12:00:00 AM,0,Region,Central,40,Labs,2011-12
A (Unk),10/8/2011 12:00:00 AM,0,Region,Central,40,Labs,2011-12
B,10/8/2011 12:00:00 AM,0,Region,Central,40,Labs,2011-12
B/Victoria,10/8/2011 12:00:00 AM,0,Region,Central,40,Labs,2011-12
B/Yamagata,10/8/2011 12:00:00 AM,0,Region,Central,40,Labs,2011-12
A (H1),10/8/2011 12:00:00 AM,0,Region,Eastern,40,Labs,2011-12
A (H3),10/8/2011 12:00:00 AM,0,Region,Eastern,40,Labs,2011-12
A (Unk),10/8/2011 12:00:00 AM,0,Region,Eastern,40,Labs,2011-12
B,10/8/2011 12:00:00 AM,0,Region,Eastern,40,Labs,2011-12
B/Victoria,10/8/2011 12:00:00 AM,0,Region,Eastern,40,Labs,2011-12
B/Yamagata,10/8/2011 12:00:00 AM,0,Region,Eastern,40,Labs,2011-12
A (H1),10/8/2011 12:00:00 AM,0,Region,Northern,40,Labs,2011-12
A (H3),10/8/2011 12:00:00 AM,0,Region,Northern,40,Labs,2011-12
A (Unk),10/8/2011 12:00:00 AM,0,Region,Northern,40,Labs,2011-12
B,10/8/2011 12:00:00 AM,0,Region,Northern,40,Labs,2011-12
B/Victoria,10/8/2011 12:00:00 AM,0,Region,Northern,40,Labs,2011-12
B/Yamagata,10/8/2011 12:00:00 AM,0,Region,Northern,40,Labs,2011-12
A (H1),10/8/2011 12:00:00 AM,0,Region,Northwest,40,Labs,2011-12
A (H3),10/8/2011 12:00:00 AM,0,Region,Northwest,40,Labs,2011-12
A (Unk),10/8/2011 12:00:00 AM,0,Region,Northwest,40,Labs,2011-12
B,10/8/2011 12:00:00 AM,0,Region,Northwest,40,Labs,2011-12
B/Victoria,10/8/2011 12:00:00 AM,0,Region,Northwest,40,Labs,2011-12
B/Yamagata,10/8/2011 12:00:00 AM,0,Region,Northwest,40,Labs,2011-12
A (H1),10/8/2011 12:00:00 AM,0,Region,Southwest,40,Labs,2011-12
A (H3),10/8/2011 12:00:00 AM,0,Region,Southwest,40,Labs,2011-12
A (Unk),10/8/2011 12:00:00 AM,0,Region,Southwest,40,Labs,2011-12
B,10/8/2011 12:00:00 AM,0,Region,Southwest,40,Labs,2011-12
B/Victoria,10/8/2011 12:00:00 AM,0,Region,Southwest,40,Labs,2011-12
B/Yamagata,10/8/2011 12:00:00 AM,0,Region,Southwest,40,Labs,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Facility Type,Assisted Living,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Facility Type,Assisted Living,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Facility Type,Daycare / Pre-K,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Facility Type,Daycare / Pre-K,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Facility Type,Nursing Home,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Facility Type,Nursing Home,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Facility Type,Other Facility Type,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Facility Type,Other Facility Type,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Facility Type,Other Health Care,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Facility Type,Other Health Care,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Facility Type,School (K-12),40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Facility Type,School (K-12),40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Region,Central,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Region,Central,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Region,Eastern,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Region,Eastern,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Region,Northern,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Region,Northern,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Region,Northwest,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Region,Northwest,40,Outbreaks,2011-12
Confirmed,10/8/2011 12:00:00 AM,0,Region,Southwest,40,Outbreaks,2011-12
Suspected,10/8/2011 12:00:00 AM,0,Region,Southwest,40,Outbreaks,2011-12
,10/8/2011 12:00:00 AM,0,,,40,Specimens,2011-12
,10/15/2011 12:00:00 AM,1,,,41,Activity Level,2011-12
,10/15/2011 12:00:00 AM,3.688354745,AgeGroup,0-4,41,ILI by Age,2011-12
,10/15/2011 12:00:00 AM,2.409920449,AgeGroup,05-18,41,ILI by Age,2011-12
,10/15/2011 12:00:00 AM,1.039110983,AgeGroup,19-24,41,ILI by Age,2011-12
,10/15/2011 12:00:00 AM,0.930598064,AgeGroup,25-49,41,ILI by Age,2011-12
,10/15/2011 12:00:00 AM,0.569486544,AgeGroup,50-64,41,ILI by Age,2011-12
,10/15/2011 12:00:00 AM,0.290435653,AgeGroup,65+,41,ILI by Age,2011-12
,10/15/2011 12:00:00 AM,1.292962357,RegionName,Central,41,ILI by Region,2011-12
,10/15/2011 12:00:00 AM,1.162900633,RegionName,Eastern,41,ILI by Region,2011-12
,10/15/2011 12:00:00 AM,1.389111932,RegionName,Northern,41,ILI by Region,2011-12
,10/15/2011 12:00:00 AM,0.944010417,RegionName,Northwest,41,ILI by Region,2011-12
,10/15/2011 12:00:00 AM,1.047628286,RegionName,Southwest,41,ILI by Region,2011-12
,10/15/2011 12:00:00 AM,1.181277065,,,41,ILI by Season,2011-12
A (H1),10/15/2011 12:00:00 AM,0,Region,Central,41,Labs,2011-12
A (H3),10/15/2011 12:00:00 AM,0,Region,Central,41,Labs,2011-12
A (Unk),10/15/2011 12:00:00 AM,0,Region,Central,41,Labs,2011-12
B,10/15/2011 12:00:00 AM,0,Region,Central,41,Labs,2011-12
B/Victoria,10/15/2011 12:00:00 AM,0,Region,Central,41,Labs,2011-12
B/Yamagata,10/15/2011 12:00:00 AM,0,Region,Central,41,Labs,2011-12
A (H1),10/15/2011 12:00:00 AM,0,Region,Eastern,41,Labs,2011-12
